Date,Rainfall_inches
12/4/16,0
12/5/16,0
12/6/16,0
12/7/16,0
12/8/16,0
12/9/16,0.06
12/10/16,0.01
12/11/16,0
12/12/16,0
12/13/16,0
12/14/16,0
12/15/16,0.01
12/16/16,1.3
12/17/16,0.01
12/18/16,0
12/19/16,0
12/20/16,0
12/21/16,0
12/22/16,0.07
12/23/16,0
12/24/16,1.77
12/25/16,0
12/26/16,0
12/27/16,0
12/28/16,0
12/29/16,0
12/30/16,0.04
12/31/16,0.28
1/1/17,0.08
1/2/17,0
1/3/17,0
1/4/17,0
1/5/17,0.61
1/6/17,0
1/7/17,0.29
1/8/17,0.14
1/9/17,0.93
1/10/17,0
1/11/17,0.91
1/12/17,0.28
1/13/17,0.11
1/14/17,0
1/15/17,0
1/16/17,0
1/17/17,0
1/18/17,0
1/19/17,0.91
1/20/17,0.68
1/21/17,1.78
1/22/17,0.42
1/23/17,1.31
1/24/17,0.04
1/25/17,0
1/26/17,0
1/27/17,0
1/28/17,0
1/29/17,0
1/30/17,0
1/31/17,0
2/1/17,0
2/2/17,0
2/3/17,0.17
2/4/17,0.18
2/5/17,0
2/6/17,1.48
2/7/17,0.22
2/8/17,0.46
2/9/17,0.01
2/10/17,0.04
2/11/17,0.65
2/12/17,0
2/13/17,0
2/14/17,0
2/15/17,0.01
2/16/17,0
2/17/17,1.27
2/18/17,5.02
2/19/17,0.1
2/20/17,0.74
2/21/17,0.19
2/22/17,0.06
2/23/17,0
2/24/17,0
2/25/17,0
2/26/17,0.15
2/27/17,0
2/28/17,0
3/1/17,0
3/2/17,0
3/3/17,0
3/4/17,0
3/5/17,0
3/6/17,0.2
3/7/17,0
3/8/17,0
3/9/17,0
3/10/17,0
3/11/17,0
3/12/17,0
3/13/17,0
3/14/17,0
3/15/17,0
3/16/17,0
3/17/17,0
3/18/17,0
3/19/17,0
3/20/17,0
3/21/17,0.2
3/22/17,0.55
3/23/17,0
3/24/17,0
3/25/17,0.03
3/26/17,0
3/27/17,0
3/28/17,0
3/29/17,0
3/30/17,0
3/31/17,0
4/1/17,0
4/2/17,0
4/3/17,0
4/4/17,0
4/5/17,0
4/6/17,0
4/7/17,0
4/8/17,0.12
4/9/17,0.01
4/10/17,0
4/11/17,0
4/12/17,0
4/13/17,0
4/14/17,0
4/15/17,0
4/16/17,0
4/17/17,0
4/18/17,0
4/19/17,0.21
4/20/17,0.01
4/21/17,0
4/22/17,0
4/23/17,0
4/24/17,0
4/25/17,0
4/26/17,0
4/27/17,0
4/28/17,0
4/29/17,0
4/30/17,0
5/1/17,0
5/2/17,0
5/3/17,0
5/4/17,0
5/5/17,0
5/6/17,0
5/7/17,0.2
5/8/17,0.03
5/9/17,0
5/10/17,0
5/11/17,0
5/12/17,0
5/13/17,0
5/14/17,0
5/15/17,0
5/16/17,0
5/17/17,0
5/18/17,0
5/19/17,0
5/20/17,0
5/21/17,0
5/22/17,0
5/23/17,0
5/24/17,0
5/25/17,0
5/26/17,0
5/27/17,0
5/28/17,0
5/29/17,0
5/30/17,0
5/31/17,0
6/1/17,0
6/2/17,0
6/3/17,0
6/4/17,0
6/5/17,0
6/6/17,0
6/7/17,0.01
6/8/17,0
6/9/17,0
6/10/17,0
6/11/17,0
6/12/17,0
6/13/17,0
6/14/17,0
6/15/17,0
6/16/17,0
6/17/17,0
6/18/17,0
6/19/17,0
6/20/17,0
6/21/17,0
6/22/17,0
6/23/17,0.01
6/24/17,0
6/25/17,0
6/26/17,0
6/27/17,0
6/28/17,0
6/29/17,0
6/30/17,0
7/1/17,0
7/2/17,0
7/3/17,0
7/4/17,0
7/5/17,0
7/6/17,0
7/7/17,0
7/8/17,0
7/9/17,0
7/10/17,0
7/11/17,0
7/12/17,0
7/13/17,0
7/14/17,0
7/15/17,0
7/16/17,0
7/17/17,0
7/18/17,0
7/19/17,0
7/20/17,0
7/21/17,0
7/22/17,0
7/23/17,0
7/24/17,0
7/25/17,0
7/26/17,0
7/27/17,0
7/28/17,0
7/29/17,0
7/30/17,0
7/31/17,0
8/1/17,0
8/2/17,0
8/3/17,0
8/4/17,0
8/5/17,0
8/6/17,0
8/7/17,0
8/8/17,0
8/9/17,0
8/10/17,0
8/11/17,0
8/12/17,0
8/13/17,0
8/14/17,0
8/15/17,0
8/16/17,0
8/17/17,0
8/18/17,0
8/19/17,0
8/20/17,0
8/21/17,0
8/22/17,0
8/23/17,0
8/24/17,0
8/25/17,0
8/26/17,0
8/27/17,0
8/28/17,0
8/29/17,0
8/30/17,0
8/31/17,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
